current_rest_link,review_date,review_comments,review_rating
f5ek/liu-dian-zhong-yang-sheng-dun-tang,10/12/2021,湯的雞腿肉，整個骨頭處的肉是紅的...不敢吃還影響食慾.....,1/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,10/12/2021,價格不實惠,2/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,10/7/2021,湯都漏出來了！,1/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,10/5/2021,炒飯還有雙蛋煎都好吃喔！,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,9/26/2021,又少東西,1/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,9/21/2021,說要半熟蛋，變成全熟蛋,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,9/17/2021,湯都灑出來了，漏了滿包裝袋的湯。 便當盒子也濕掉了。,3/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,9/14/2021,排骨酥湯好喝，爌肉飯好吃,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,9/11/2021,訂的食物不知道是沒了隨便用一道小菜替補也未說明,1/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,9/10/2021,四神湯好喝,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,9/10/2021,小菜不合胃口 偏酸 湯跟麵線還不錯吃,3/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,9/8/2021,口味不喜歡,1/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,9/8/2021,好吃但是太鹹了啦,4/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,8/25/2021,豬心湯好喝，涼拌海帶絲也很好吃,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,8/23/2021,餐點普普，燙青菜有沙⋯有點失望,3/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,8/19/2021,湯品口味普普，豬耳朵有點過鹹,4/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,8/19/2021,炒飯很好吃，下次還會想再嚐試別的,4/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,8/19/2021,蚵仔煎還好（沒有很好吃），香菇雞湯比較好喝,3/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,8/18/2021,小菜不要點，會造成不幸,2/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,8/11/2021,好吃,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,7/24/2021,什麼都好吃就小菜差了點,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,7/21/2021,炒飯好吃！！,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,7/20/2021,蝦有腥味，炒飯調味太鹹,1/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,7/15/2021,好吃,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,7/2/2021,炒飯跟雞肉飯都好吃，湯略鹹,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,7/2/2021,老闆還多送了一份涼拌木耳，非常感謝,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,6/26/2021,好吃,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,6/22/2021,吻仔魚炒飯裡面沒有吻仔魚,3/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,6/15/2021,好吃,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,6/12/2021,偏鹹,4/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,6/11/2021,"普通,燉湯偏鹹 控肉飯好吃",3/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,6/7/2021,地瓜葉裡有一隻完整很肥的毛毛蟲，如果可以連一顆心都不想給🙄🙄🙄🙄,1/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,6/6/2021,好吃，可惜沒加沙茶,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,6/5/2021,好吃👍,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,5/28/2021,他們的滷肉飯超級好吃！大推唷～ 而且不油，飯很香軟，淋上的湯汁不鹹剛剛好 叫晚餐的時候，還會幫把滷肉切一塊一塊的❤️,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,5/27/2021,豬肝沒熟還有腥味 很糟糕的餐點體驗,1/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,5/19/2021,很好吃！叫很多次了,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,5/14/2021,口味太淡了.謝謝你,3/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,4/27/2021,弛症發作後,3/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,4/23/2021,小菜豆乾有點黏稠、豬肝血太多,4/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,4/22/2021,今天炒飯 飯的部份太濕了 不是很喜歡...,4/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,4/17/2021,蝦仁煎跟米糕都好好吃,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,4/9/2021,太扯了，雞湯的雞腿幾乎沒熟,1/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,4/4/2021,外送人態度非常差.送餐非常慢14分取餐55分才到==,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,4/2/2021,麵線有一點點鹹,4/5
